name,url
arsenal,"https://fbref.com/en/squads/18bb7c10/Arsenal-Stats#stats_standard_9"
"aston villa","https://fbref.com/en/squads/8602292d/Aston-Villa-Stats#stats_standard_9"
bournemouth,"https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats#stats_standard_9"
brentford,"https://fbref.com/en/squads/cd051869/Brentford-Stats#stats_standard_9"
brighton,"https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats#stats_standard_9"
chelsea,"https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats#stats_standard_9"
"crystal palace","https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats#stats_standard_9"
everton,"https://fbref.com/en/squads/d3fd31cc/Everton-Stats#stats_standard_9"
fullham,"https://fbref.com/en/squads/fd962109/Fulham-Stats#stats_standard_9"
"leeds united","https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats#stats_standard_9"
"leicester city","https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats#stats_standard_9"
liverpool,"https://fbref.com/en/squads/822bd0ba/Liverpool-Stats#stats_standard_9"
"manchester city","https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats#stats_standard_9"
"manchester utd","https://fbref.com/en/squads/19538871/Manchester-United-Stats#stats_standard_9"
"newcastle utd","https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats#stats_standard_9"
"nottingham forest","https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats#stats_standard_9"
southampton,"https://fbref.com/en/squads/33c895d4/Southampton-Stats#stats_standard_9"
tottenham,"https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats#stats_standard_9"
"west ham","https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats#stats_standard_9"
wolves,"https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats#stats_standard_9"
